stage,scenario_id,request,reference,pool_size,feasible_journeys,annotation_status,review_question,reviewer_decision
3,sampling-07,"On 2026-09-14, plan the outbound journey from NW Glisan & 3rd [stop_id=9311] to SW 5th & Salmon [stop_id=7634]. Depart no earlier than 12:00:58 and arrive by 11:09:00, both inclusive.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 43258}, {""direction"": ""outbound"", ""requirement"": ""latest_arrival"", ""target"": 40140}]}",128,0,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-08,"On 2026-09-14, plan the outbound journey from OMSI/SE Water [stop_id=13773] to SW 6th & Mill [stop_id=7773]. Depart no earlier than 10:19:57 and arrive by 12:13:52, both inclusive.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 37197}, {""direction"": ""outbound"", ""requirement"": ""latest_arrival"", ""target"": 44032}]}",128,51,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-09,"On 2026-09-14, plan the outbound journey from SW Lincoln & 1st [stop_id=3398] to SW 6th & Harvey Milk [stop_id=7797]. Depart no later than 10:02:29, inclusive.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""latest_departure"", ""target"": 36149}]}",128,20,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-10,"On 2026-09-14, plan the outbound journey from N Vancouver & Tillamook [stop_id=6008] to SW 5th & Pine [stop_id=7631]. Make at most 0 transfers. Do not depart before 11:25:26.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""transfer_limit"", ""target"": 0}, {""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 41126}]}",128,2,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-11,"On 2026-09-14, plan the outbound journey from SW 5th & Columbia [stop_id=7594] to SE Powell & 12th [stop_id=13792]. Depart no earlier than 11:28:43 and arrive by 11:58:00, both inclusive.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 41323}, {""direction"": ""outbound"", ""requirement"": ""latest_arrival"", ""target"": 43080}]}",128,1,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-12,"On 2026-09-14, plan the outbound journey from SW 5th & Hall [stop_id=10491] to SE Division & 20th Ave [stop_id=1435]. Depart no later than 10:08:31, inclusive.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""latest_departure"", ""target"": 36511}]}",128,19,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-13,"On 2026-09-14, plan the outbound journey from SW 6th & Salmon [stop_id=7789] to Rose Quarter Transit Center [stop_id=1097]. Make at most 0 transfers. Do not depart before 11:12:00.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""transfer_limit"", ""target"": 0}, {""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 40320}]}",128,5,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-14,"On 2026-09-14, plan the outbound journey from SW 5th & Harvey Milk [stop_id=7636] to SW 5th & Harrison [stop_id=7602]. Also plan a return segment from SW Hall & 5th [stop_id=13780] to SW 6th & Washington [stop_id=7803] within 12:00:00–13:00:00. I handle movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make at most 0 transfers. On the return segment only, depart no earlier than 12:37:53.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""transfer_limit"", ""target"": 0}, {""direction"": ""return"", ""requirement"": ""earliest_departure"", ""target"": 45473}]}",256,6,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-15,"On 2026-09-14, plan the outbound journey from SE Division & 11th Ave [stop_id=14244] to SW 6th & Columbia [stop_id=11486]. Depart no earlier than 11:52:00 and arrive by 10:54:27, both inclusive.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 42720}, {""direction"": ""outbound"", ""requirement"": ""latest_arrival"", ""target"": 39267}]}",128,0,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-16,"On 2026-09-14, plan the outbound journey from SW 6th & Jefferson [stop_id=7765] to NW Everett & 2nd [stop_id=1612]. Depart no earlier than 10:40:51 and arrive by 12:18:16, both inclusive.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 38451}, {""direction"": ""outbound"", ""requirement"": ""latest_arrival"", ""target"": 44296}]}",128,50,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-17,"On 2026-09-14, plan the outbound journey from SE 7th & Tilikum Way [stop_id=13825] to SW 6th & Alder [stop_id=7747]. Depart no later than 11:27:14, inclusive.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""latest_departure"", ""target"": 41234}]}",128,106,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-18,"On 2026-09-14, plan the outbound journey from SW 6th & Taylor [stop_id=7800] to NW Irving & 5th [stop_id=3007]. Make at most 0 transfers. Do not depart before 11:56:00.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""transfer_limit"", ""target"": 0}, {""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 42960}]}",128,5,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-19,"On 2026-09-14, plan the outbound journey from SW 6th & Market [stop_id=7772] to N Williams & NE Broadway [stop_id=6357]. Depart no earlier than 11:09:47 and arrive by 12:10:10, both inclusive.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 40187}, {""direction"": ""outbound"", ""requirement"": ""latest_arrival"", ""target"": 43810}]}",128,15,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-20,"On 2026-09-14, plan the outbound journey from SE Powell & Milwaukie [stop_id=4538] to SW 6th & Clay [stop_id=7756]. Depart no later than 10:55:00, inclusive.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""latest_departure"", ""target"": 39300}]}",128,77,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-21,"On 2026-09-14, plan the outbound journey from NW 5th & Hoyt [stop_id=9302] to 300 Block SW Lincoln [stop_id=3397]. Make at most 0 transfers. Do not depart before 10:36:00.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""transfer_limit"", ""target"": 0}, {""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 38160}]}",128,1,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-22,"On 2026-09-14, plan the outbound journey from SW Jefferson & 5th [stop_id=12791] to N Williams & NE Tillamook [stop_id=6370]. Also plan a return segment from N Vancouver & Tillamook [stop_id=6008] to SW Jefferson & 5th [stop_id=12791] within 12:00:00–13:00:00. I handle movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make at most 0 transfers. On the return segment only, depart no earlier than 12:25:12.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""transfer_limit"", ""target"": 0}, {""direction"": ""return"", ""requirement"": ""earliest_departure"", ""target"": 44712}]}",256,1,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-23,"On 2026-09-14, plan the outbound journey from NE Multnomah & 3rd [stop_id=11492] to SW 5th & Taylor [stop_id=7640]. Depart no earlier than 12:15:57 and arrive by 10:56:52, both inclusive.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 44157}, {""direction"": ""outbound"", ""requirement"": ""latest_arrival"", ""target"": 39412}]}",96,0,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-24,"On 2026-09-14, plan the outbound journey from SW Lincoln & 1st [stop_id=3398] to NW 6th & Flanders [stop_id=9300]. Depart no earlier than 10:26:29 and arrive by 12:13:14, both inclusive.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 37589}, {""direction"": ""outbound"", ""requirement"": ""latest_arrival"", ""target"": 43994}]}",128,45,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-25,"On 2026-09-14, plan the outbound journey from N Vancouver & Weidler [stop_id=6009] to SE Milwaukie & Powell [stop_id=10472]. Depart no later than 11:10:54, inclusive.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""latest_departure"", ""target"": 40254}]}",128,102,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-26,"On 2026-09-14, plan the outbound journey from NE Weidler & 7th [stop_id=6240] to 2200 Block NE Weidler [stop_id=14656]. Make at most 0 transfers. Do not depart before 11:31:17.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""transfer_limit"", ""target"": 0}, {""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 41477}]}",51,3,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-27,"On 2026-09-14, plan the outbound journey from SW 5th & Columbia [stop_id=7594] to SE Division & 12th Ave [stop_id=1375]. Depart no earlier than 11:13:43 and arrive by 11:56:00, both inclusive.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 40423}, {""direction"": ""outbound"", ""requirement"": ""latest_arrival"", ""target"": 42960}]}",128,11,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-28,"On 2026-09-14, plan the outbound journey from SW 5th & Pine [stop_id=7631] to SW Madison & 4th [stop_id=3639]. Depart no later than 10:19:56, inclusive.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""latest_departure"", ""target"": 37196}]}",66,21,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-29,"On 2026-09-14, plan the outbound journey from NE Broadway & 12th [stop_id=629] to NE M L King & Wasco [stop_id=5958]. Make at most 0 transfers. Do not depart before 11:41:00.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""transfer_limit"", ""target"": 0}, {""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 42060}]}",36,3,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-30,"On 2026-09-14, plan the outbound journey from NW 5th & Davis [stop_id=9301] to OMSI/SE Water [stop_id=13772]. Also plan a return segment from OMSI/SE Water [stop_id=13773] to NW Everett & 5th [stop_id=8886] within 12:00:00–13:00:00. I handle movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make at most 0 transfers. On the return segment only, depart no earlier than 12:19:57.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""transfer_limit"", ""target"": 0}, {""direction"": ""return"", ""requirement"": ""earliest_departure"", ""target"": 44397}]}",256,4,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
3,sampling-31,"On 2026-09-14, plan the outbound journey from SW 6th & W Burnside [stop_id=7751] to N Williams & NE Broadway [stop_id=6357]. Depart no earlier than 11:50:39 and arrive by 10:55:02, both inclusive.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 42639}, {""direction"": ""outbound"", ""requirement"": ""latest_arrival"", ""target"": 39302}]}",128,0,provisional; no independent human adjudication,"Check time operator, inclusive boundary, scope and pool-relative infeasibility.",
